File,Best Distribution,RSS,Parameters
20052773001_3000.csv,dweibull,0.46886568407062906,"(0.8153312785035793, 2.028999999999999, 0.7149381121458519)"
20052773001_3010.csv,genextreme,0.2087848052964952,"(-0.008123772028036061, 1.538350313965534, 0.21529112362320496)"
20052773001_3200.csv,lognorm,0.19138590174725406,"(0.21792659248185897, 0.5294751013224333, 1.3530302517669206)"
20052773001_3210.csv,genextreme,0.17564212368322682,"(-0.10251707543983006, 1.3894888389475204, 0.25486613693765225)"
20052773001_3220.csv,lognorm,0.23103967124789068,"(0.21137208997470602, 0.4455309109257002, 1.270035544092089)"
20052773002_3000.csv,dweibull,2.440898599861884,"(0.785520429494049, 0.8170000000000001, 0.2392555548030761)"
20052773002_3010.csv,gamma,7.336249929101593,"(0.6365607660794752, -1.6250169649735903e-29, 0.12916135441728196)"
20052773002_3200.csv,dweibull,4.08709170243586,"(0.8292711921887795, 0.7799999999999999, 0.254387614396636)"
20052773002_3210.csv,dweibull,0.9435523999844625,"(5.372849624452258, 0.3864734513720596, 0.38988624963823615)"
20052773002_3220.csv,expon,3.074309198772418,"(0.0, 0.09732692307692307)"
20052773003_3000.csv,dweibull,0.1943547591350119,"(5.485425065332626, 1.1474941045752276, 1.1085304763580983)"
20052773003_3010.csv,genextreme,0.2060941922792586,"(-0.008183069336101433, 1.5464492211200294, 0.21628727603527986)"
20052773003_3200.csv,lognorm,0.19138590174725406,"(0.21792659248185897, 0.5294751013224333, 1.3530302517669206)"
20052773003_3210.csv,t,0.2185540744024342,"(1.952172700158079, 1.5159327597803243, 0.18207622272633245)"
20052773003_3220.csv,lognorm,0.23103967124789068,"(0.21137208997470602, 0.4455309109257002, 1.270035544092089)"
20052773004_3000.csv,dweibull,0.17360713848173603,"(0.7509534467979352, 2.7739999999999996, 0.9532680687920443)"
20052773004_3010.csv,dweibull,0.24085818260152117,"(6.039956635913446, 1.1641979822689281, 1.1549634117899363)"
20052773004_3200.csv,dweibull,0.05788946132894043,"(5.913533450338566, 1.3635883900223065, 1.3652088623902823)"
20052773004_3210.csv,dweibull,0.2326664938474022,"(5.942084960260749, 1.0549821682420208, 1.0492988758384088)"
20052773004_3220.csv,gamma,1.2888790018856175,"(0.43197782798406004, -1.5214842009081326e-27, 0.6391208543410676)"
20052773005_3000.csv,lognorm,3.287599506280194,"(0.23503362921733892, 0.17191641366342109, 0.3393386238506064)"
20052773005_3010.csv,beta,2.7040327040076853,"(1.6505276912215883, 6.316908139414002, 0.3044565511788372, 0.4617806813834965)"
20052773005_3200.csv,t,6.070884443235858,"(1.2441004124606023, 0.4181467748874133, 0.052830205953235024)"
20052773005_3210.csv,lognorm,7.912092454201288,"(0.20986178125809263, 0.07446699093254307, 0.21835032122529524)"
20052773005_3220.csv,lognorm,4.425735757361266,"(0.21236120535631392, 0.10327679874569302, 0.28888269606645245)"
20052773006_3000.csv,dweibull,5.678388120750425,"(7.401623886064353, 0.4661990972926269, 0.46760976030881335)"
20052773006_3010.csv,gamma,9.68914570059174,"(0.44889106820711977, -1.8257952994121103e-28, 0.1260904010874318)"
20052773006_3200.csv,gamma,5.012535705505126,"(0.6925420458410202, -5.450531636432763e-29, 0.21490495329449796)"
20052773006_3210.csv,dweibull,1.6814644015603224,"(6.928843627206444, 0.4037151999470755, 0.41234862751930884)"
20052773006_3220.csv,expon,4.672668866317726,"(0.0, 0.12451923076923076)"
20052773007_3000.csv,dweibull,0.6114081915006012,"(5.905614495630271, 1.453358362263498, 1.4941651134928917)"
20052773007_3010.csv,dweibull,0.3111999093361034,"(6.097176847739881, 1.158003861901486, 1.152958077923698)"
20052773007_3200.csv,loggamma,0.4269839572758526,"(0.1341967133820357, 3.081631062505768, 0.15338381001850393)"
20052773007_3210.csv,dweibull,0.30393691697441544,"(4.525199063072262, 1.0715583343873334, 1.12880796283075)"
20052773007_3220.csv,gamma,0.5462402083928402,"(0.4935869090948126, -3.1272417098450924e-28, 0.4927065717672073)"
20052773008_3000.csv,lognorm,3.308843987728897,"(0.23600875042962782, 0.17316477424613944, 0.3368695229016119)"
20052773008_3010.csv,genextreme,3.8305908202082253,"(-0.006225841231539166, 0.36084239459074896, 0.05047406412169862)"
20052773008_3200.csv,t,8.594524655031922,"(1.0261574068062438, 0.4148971765784538, 0.05285721755835107)"
20052773008_3210.csv,lognorm,3.794847111343821,"(0.21060613238526368, 0.0768926968954837, 0.22115425739059252)"
20052773008_3220.csv,lognorm,4.425735757361266,"(0.21236120535631392, 0.10327679874569302, 0.28888269606645245)"
20064068002_3000.csv,t,0.04225762507244569,"(27.746860577400675, 4.939855723063134, 0.7197593222147047)"
20064068002_3010.csv,dweibull,0.10279463031243619,"(1.1855140786810574, 3.1835559357283065, 0.3794710950640371)"
20064068002_3200.csv,loggamma,0.026783873409246203,"(52.1286562643879, -14.977426259991837, 4.966844862862745)"
20064068002_3210.csv,dweibull,0.035557548509535616,"(1.203688104242116, 3.992461207781475, 0.4874488112232522)"
20064068002_3220.csv,dweibull,0.21482664404782553,"(1.2033427762165936, 3.3368807572141206, 0.4073654282222665)"
20064068003_3000.csv,t,0.037420803801826,"(27.58166227139428, 5.251994669123121, 0.7650292889129237)"
20064068003_3010.csv,dweibull,0.09203059083134889,"(1.1850631752266643, 3.3620074917850484, 0.4007257278541386)"
20064068003_3200.csv,loggamma,0.026201556183409892,"(52.34155195353616, -15.21005081693054, 5.033928228781667)"
20064068003_3210.csv,dweibull,0.04933329130047939,"(1.202313556075286, 3.3917573213796333, 0.4139263771022986)"
20064068003_3220.csv,dweibull,0.05082701998958425,"(1.2031052792489811, 3.3426714927901107, 0.4080650512734668)"
20064068004_3000.csv,t,0.01589606611534785,"(27.730638614941554, 8.060418682672658, 1.1743094607795999)"
20064068004_3010.csv,dweibull,0.03493083137142666,"(1.18607185822028, 5.467173509235655, 0.6518360852397281)"
20064068004_3200.csv,beta,0.019358429060720377,"(247479647.78334123, 157.90433924895825, -15960990.852607634, 15961006.438187253)"
20064068004_3210.csv,dweibull,0.019243832338133295,"(1.2031410135175, 5.428662920378105, 0.6626957960110464)"
20064068004_3220.csv,dweibull,0.02256215745713038,"(1.2029596941063865, 5.0130673490491535, 0.6120066774247033)"
20064068005_3000.csv,t,0.10741432915686216,"(27.599208512966563, 3.100561982311504, 0.4516393688936624)"
20064068005_3010.csv,dweibull,0.10025058549422496,"(1.1854053045011277, 2.871734321368333, 0.342241053587933)"
20064068005_3200.csv,loggamma,0.11543451163386617,"(52.01488086172584, -7.203073596921548, 2.3912644350877814)"
20064068005_3210.csv,dweibull,0.12958804828947607,"(1.2041508309323805, 2.0910816778823023, 0.2553641724857856)"
20064068005_3220.csv,dweibull,0.17619941283105328,"(1.203409290756151, 1.7958283331445366, 0.2192717116214451)"
20064068008_3000.csv,t,0.009018842378024024,"(27.795619828809066, 10.701079219006502, 1.5592509194597894)"
20064068008_3010.csv,dweibull,0.02251516167654482,"(1.1862856989048165, 6.810625339706986, 0.8122215715344459)"
20064068008_3200.csv,loggamma,0.008703719399902407,"(52.121674272448445, -26.279458525370444, 8.715376822013543)"
20064068008_3210.csv,dweibull,0.008859629039025367,"(1.2036046078844493, 7.999708301597162, 0.9768455731465796)"
20064068008_3220.csv,dweibull,0.01868400031975894,"(1.2032918622876372, 5.509986895121649, 0.6726977748430916)"
20064068009_3000.csv,t,0.0038816878997598716,"(41.73681850763697, 16.149085130480586, 2.401216598328517)"
20064068009_3010.csv,dweibull,0.023637931101032843,"(1.1863108560686424, 6.649095358003853, 0.7928117740733592)"
20064068009_3200.csv,beta,0.007598301389904648,"(246517437.17689937, 158.30491062977194, -25360387.92226129, 25360412.834907893)"
20064068009_3210.csv,dweibull,0.01932471891951327,"(1.203350091300508, 5.416690213416752, 0.6613177037827176)"
20064068009_3220.csv,dweibull,0.01276491321733021,"(1.2037544103196605, 6.66374852736319, 0.8137268599057785)"
20064068010_3000.csv,t,0.005727340129816332,"(27.81052749862574, 13.435255398212956, 1.957511860524557)"
20064068010_3010.csv,dweibull,0.02146887351942032,"(1.1859149971686433, 6.970998918683719, 0.8311709010164753)"
20064068010_3200.csv,loggamma,0.008283293480262318,"(52.24726117240844, -27.00249692196004, 8.944611873377081)"
20064068010_3210.csv,dweibull,0.008658164019159694,"(1.2038665125954138, 8.094342262851903, 0.9884314260297704)"
20064068010_3220.csv,dweibull,0.01226122168387906,"(1.203740747965068, 6.800161228562109, 0.83034545973176)"
20064068011_3000.csv,t,0.01543183692936934,"(27.72809954697556, 8.178884850820948, 1.191659068203927)"
20064068011_3010.csv,dweibull,0.044851067844141834,"(1.1854263019159201, 4.819358516754839, 0.5744806547564847)"
20064068011_3200.csv,loggamma,0.0180728822835164,"(52.34621545727612, -18.320072847048916, 6.063006611913629)"
20064068011_3210.csv,dweibull,0.020255868043398476,"(1.2027690516838365, 5.2921047000587755, 0.6460414363992526)"
20064068011_3220.csv,dweibull,0.051187053573160016,"(1.2030205901179505, 3.3286257649723816, 0.4063837259560772)"
20064068013_3000.csv,t,0.005077940556175356,"(27.719150370477994, 14.255141418802172, 2.0770020767240305)"
20064068013_3010.csv,dweibull,0.0071749131103906565,"(1.186101685674563, 12.062505184366513, 1.4382261516093862)"
20064068013_3200.csv,loggamma,0.0034295783216352974,"(52.26908754799818, -41.98687383596003, 13.90553553377163)"
20064068013_3210.csv,dweibull,0.004820293097523035,"(1.2035993614420644, 10.847576416371716, 1.3244634400640978)"
20064068013_3220.csv,dweibull,0.006742149686459718,"(1.2036398339015182, 9.17210988792188, 1.1199452664955456)"
20064068014_3000.csv,t,0.0025930637720098706,"(27.714904681145455, 19.952795855886205, 2.907030360069447)"
20064068014_3010.csv,dweibull,0.008563861654467944,"(1.1857784545183243, 11.035127919827367, 1.3155859707403232)"
20064068014_3200.csv,loggamma,0.0029461449586770483,"(52.32909230657127, -45.35271599007913, 15.0117434492369)"
20064068014_3210.csv,dweibull,0.003320404007768577,"(1.2032962155182427, 13.06710398175006, 1.5953007332509088)"
20064068014_3220.csv,dweibull,0.005427216111669616,"(1.203379300984555, 10.221082207302906, 1.24786298354208)"
20064068015_3000.csv,t,0.3872993482461318,"(27.842938702016923, 1.632020445091783, 0.23782858271941956)"
20064068015_3010.csv,dweibull,0.7738966839467907,"(1.1881196698010215, 1.0405027623281091, 0.12420407940927858)"
20064068015_3200.csv,loggamma,0.187338009603788,"(51.669570203399815, -5.613305661791076, 1.8695985144328628)"
20064068015_3210.csv,dweibull,0.5641095107343272,"(1.193084814346538, 0.99295232927857, 0.12160045301509682)"
20064068015_3220.csv,dweibull,0.26651337751501536,"(1.2047678533695547, 1.457821701108616, 0.1780651643133915)"
20064068016_3000.csv,t,0.35428302281865853,"(28.00079347621393, 1.7059623332168208, 0.2486569480326158)"
20064068016_3010.csv,dweibull,0.9667351144433679,"(1.185581770059673, 1.0386390529304903, 0.12382950357525543)"
20064068016_3200.csv,loggamma,0.18940838125292214,"(51.96225216949394, -5.611754687509473, 1.863942166487539)"
20064068016_3210.csv,dweibull,2.081940837599751,"(1.2054607879192072, 1.0702160086203922, 0.1307745666179821)"
20064068016_3220.csv,dweibull,0.3297030978225538,"(1.1994820069063405, 1.3013953667239218, 0.15972500379592855)"
20064068017_3000.csv,t,0.3846884929069631,"(27.463017172507243, 1.6375511018860163, 0.23849899747153924)"
20064068017_3010.csv,dweibull,0.9750505573213917,"(1.1863241467600756, 1.0346598963595506, 0.12345819216090927)"
20064068017_3200.csv,loggamma,0.187338009603788,"(51.669570203399815, -5.613305661791076, 1.8695985144328628)"
20064068017_3210.csv,dweibull,0.5656688276978574,"(1.204000052760263, 0.9999975903009595, 0.12215362625781892)"
20064068017_3220.csv,loggamma,0.3294444892747622,"(40.77776392047964, -3.2643859675205897, 1.2356981490396803)"
20080883_3000.csv,loggamma,0.0008993189148540802,"(1.4692520512829579, 27.048448100008684, 14.312507162778108)"
20080883_3010.csv,dweibull,0.014351840251641976,"(0.9431423424967358, 8.883999999999999, 3.2514980179577693)"
20080883_3200.csv,dweibull,0.027637998963009263,"(0.9120436495364073, 6.863000000000001, 2.4730026260849276)"
20080883_3220.csv,dweibull,0.022204676152138142,"(0.8372319993486184, 6.1499999999999995, 2.0917548133483974)"
20080884_3000.csv,dweibull,5.01756501126645e-05,"(0.8809235150844141, 121.68600000000002, 41.72307928931029)"
20080884_3010.csv,loggamma,0.0011546518434644795,"(1.2800420822339964, 32.9608964926982, 17.186656515053038)"
20080884_3200.csv,dweibull,0.001729577951829188,"(0.911929193553888, 27.434999999999995, 9.886945720707754)"
20080884_3210.csv,dweibull,0.0011383456731667413,"(0.9254652803052368, 24.749999999999996, 8.776333980094659)"
20080884_3220.csv,t,0.003760067529641588,"(2.014285356420122, 12.474765339118983, 3.1164965957754864)"
